date,station_id,station_name,ground_no2_mean,valid_readings,total_readings,coverage_percent
2025-01-01,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",25.05222222222222,90,96,93.75
2025-01-02,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",36.71208791208792,91,96,94.79166666666666
2025-01-03,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",50.42934782608695,92,96,95.83333333333334
2025-01-04,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",37.40113636363637,88,96,91.66666666666666
2025-01-05,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",18.784269662921346,89,96,92.70833333333334
2025-01-06,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",15.702197802197803,91,96,94.79166666666666
2025-01-07,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",20.22298850574713,87,96,90.625
2025-01-08,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,65,96,67.70833333333334
2025-01-09,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,42,96,43.75
2025-01-10,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",19.794117647058822,85,96,88.54166666666666
2025-01-11,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",13.076086956521738,92,96,95.83333333333334
2025-01-12,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",9.530434782608696,92,96,95.83333333333334
2025-01-13,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",11.777380952380952,84,96,87.5
2025-01-14,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",12.575824175824177,91,96,94.79166666666666
2025-01-15,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,36,96,37.5
2025-01-16,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,47,96,48.95833333333333
2025-01-17,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",10.447727272727272,88,96,91.66666666666666
2025-01-18,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",15.423376623376624,77,96,80.20833333333334
2025-01-19,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",22.129761904761907,84,96,87.5
2025-01-20,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",45.96962025316456,79,96,82.29166666666666
2025-01-21,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",37.84065934065934,91,96,94.79166666666666
2025-01-22,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",20.892134831460677,89,96,92.70833333333334
2025-01-23,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",10.069565217391304,92,96,95.83333333333334
2025-01-24,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,52,96,54.166666666666664
2025-01-25,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,10,96,10.416666666666668
2025-01-26,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,28,96,29.166666666666668
2025-01-27,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",25.996103896103897,77,96,80.20833333333334
2025-01-28,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,68,96,70.83333333333334
2025-01-29,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,71,96,73.95833333333334
2025-01-30,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",13.99367088607595,79,96,82.29166666666666
2025-01-31,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",15.778048780487804,82,96,85.41666666666666
2025-02-01,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",17.85760869565217,92,96,95.83333333333334
2025-02-02,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",15.628260869565217,92,96,95.83333333333334
2025-02-03,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",15.154216867469879,83,96,86.45833333333334
