station_id,station_name,city,state
site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",Hyderabad,Telangana
site_262,"Central University, Hyderabad - TSPCB",Hyderabad,Telangana
site_5596,"ECIL Kapra, Hyderabad - TSPCB",Hyderabad,Telangana
site_251,"ICRISAT Patancheru, Hyderabad - TSPCB",Hyderabad,Telangana
site_275,"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,Telangana
site_5597,"IITH Kandi, Hyderabad - TSPCB",Hyderabad,Telangana
site_5604,"Kokapet, Hyderabad - TSPCB",Hyderabad,Telangana
site_5599,"Kompally Municipal Office, Hyderabad - TSPCB",Hyderabad,Telangana
site_5600,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",Hyderabad,Telangana
site_5595,"New Malakpet, Hyderabad - TSPCB",Hyderabad,Telangana
site_5602,"Ramachandrapuram, Hyderabad - TSPCB",Hyderabad,Telangana
site_294,"Sanathnagar, Hyderabad - TSPCB",Hyderabad,Telangana
site_5598,"Somajiguda, Hyderabad - TSPCB",Hyderabad,Telangana
site_298,"Zoo Park, Hyderabad - TSPCB",Hyderabad,Telangana
