station_id,station_name,city,state,latitude,longitude
site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",Hyderabad,Telangana,17.540891,78.358528
site_262,"Central University, Hyderabad - TSPCB",Hyderabad,Telangana,17.460103,78.334361
site_5596,"ECIL Kapra, Hyderabad - TSPCB",Hyderabad,Telangana,17.47,78.57
site_251,"ICRISAT Patancheru, Hyderabad - TSPCB",Hyderabad,Telangana,17.52,78.27
site_275,"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,Telangana,17.55,78.22
site_5597,"IITH Kandi, Hyderabad - TSPCB",Hyderabad,Telangana,17.59,78.12
site_5604,"Kokapet, Hyderabad - TSPCB",Hyderabad,Telangana,17.42,78.33
site_5599,"Kompally Municipal Office, Hyderabad - TSPCB",Hyderabad,Telangana,17.54,78.49
site_5600,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",Hyderabad,Telangana,17.43,78.56
site_5595,"New Malakpet, Hyderabad - TSPCB",Hyderabad,Telangana,17.37,78.52
site_5602,"Ramachandrapuram, Hyderabad - TSPCB",Hyderabad,Telangana,17.51,78.3
site_294,"Sanathnagar, Hyderabad - TSPCB",Hyderabad,Telangana,17.46,78.44
site_5598,"Somajiguda, Hyderabad - TSPCB",Hyderabad,Telangana,17.42,78.45
site_298,"Zoo Park, Hyderabad - TSPCB",Hyderabad,Telangana,17.349694,78.451437
