system:index,20250301_aod_20250301,20250301_cloud_20250301,20250301_no2_20250301,20250302_aod_20250302,20250302_cloud_20250302,20250302_no2_20250302,20250303_aod_20250303,20250303_cloud_20250303,20250303_no2_20250303,20250304_aod_20250304,20250304_cloud_20250304,20250304_no2_20250304,20250305_aod_20250305,20250305_cloud_20250305,20250305_no2_20250305,20250306_aod_20250306,20250306_cloud_20250306,20250306_no2_20250306,20250307_aod_20250307,20250307_cloud_20250307,20250307_no2_20250307,20250308_aod_20250308,20250308_cloud_20250308,20250308_no2_20250308,20250309_aod_20250309,20250309_cloud_20250309,20250309_no2_20250309,20250310_aod_20250310,20250310_cloud_20250310,20250310_no2_20250310,20250311_aod_20250311,20250311_cloud_20250311,20250311_no2_20250311,20250312_aod_20250312,20250312_cloud_20250312,20250312_no2_20250312,20250313_aod_20250313,20250313_cloud_20250313,20250313_no2_20250313,20250314_aod_20250314,20250314_cloud_20250314,20250314_no2_20250314,20250315_aod_20250315,20250315_cloud_20250315,20250315_no2_20250315,20250316_aod_20250316,20250316_cloud_20250316,20250316_no2_20250316,20250317_aod_20250317,20250317_cloud_20250317,20250317_no2_20250317,20250318_aod_20250318,20250318_cloud_20250318,20250318_no2_20250318,20250319_aod_20250319,20250319_cloud_20250319,20250319_no2_20250319,20250320_aod_20250320,20250320_cloud_20250320,20250320_no2_20250320,20250321_aod_20250321,20250321_cloud_20250321,20250321_no2_20250321,20250322_aod_20250322,20250322_cloud_20250322,20250322_no2_20250322,20250323_aod_20250323,20250323_cloud_20250323,20250323_no2_20250323,20250324_aod_20250324,20250324_cloud_20250324,20250324_no2_20250324,20250325_aod_20250325,20250325_cloud_20250325,20250325_no2_20250325,20250326_aod_20250326,20250326_cloud_20250326,20250326_no2_20250326,20250327_aod_20250327,20250327_cloud_20250327,20250327_no2_20250327,20250328_aod_20250328,20250328_cloud_20250328,20250328_no2_20250328,20250329_aod_20250329,20250329_cloud_20250329,20250329_no2_20250329,20250330_aod_20250330,20250330_cloud_20250330,20250330_no2_20250330,20250331_aod_20250331,20250331_cloud_20250331,20250331_no2_20250331,bottom,col_index,grid_id,id,latitude,left,longitude,right,row_index,sort_key,top,.geo
00000000000000000000,,0.0,4.61413765151711E-5,0.5054363636363636,,5.202658833569496E-5,0.3913527272727273,,4.8127752961610876E-5,,0.14224700635703247,4.706740908792179E-5,0.3601909090909091,0.0,3.173630014529323E-5,0.14735272727272727,0.0,6.185722853271795E-5,0.28744000000000003,0.0,1.4028410946422183E-4,0.36081818181818176,,6.087886676489592E-5,0.6298472727272727,0.034457614702881376,6.420504213184928E-5,0.6218763636363636,0.0,4.885136136499431E-5,0.5946654545454546,0.0,4.93312657156105E-5,0.5255854545454546,,5.335118839868697E-5,0.6298254545454546,0.06511259955253315,5.814895020144058E-5,0.7258963636363637,,5.6241384299961E-5,0.6236763636363637,0.0,8.153928883809233E-5,0.4743109090909091,0.0,8.419353633790108E-5,0.5398036363636364,0.0,4.834397491975115E-5,0.4294509090909091,,6.396779645004172E-5,0.47883636363636367,0.0,7.457458251014821E-5,0.4154290909090909,0.0,9.409390671129915E-5,,0.25644809007655306,8.000460366023301E-5,,0.29448468012372764,7.226326838952349E-5,,0.36224759437162674,,0.7966836363636364,0.12246290594344457,5.741074346590378E-5,0.5444561403508772,,5.84614426770956E-5,0.537269090909091,0.1421720940545136,1.0729773728454274E-4,0.9688181818181818,0.26849182981825404,7.341737813529629E-5,0.6900800000000001,0.09801121263692825,6.093757372683348E-5,1.2772290909090913,0.27000303815965965,4.2734817269195666E-5,1.2310727272727273,0.05676223989407939,5.7265214132778324E-5,1.5458727272727275,0.0716568621938317,6.395230358758991E-5,1947644.4222,19,HYD_0001,856,17.60310185050841,225391.0724,78.4171491484952,226391.0724,0,19,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.41250718326043,17.598524567854238],[78.42192038629925,17.59864943742559],[78.4217911077829,17.60767912623549],[78.41237789289268,17.607554193796087],[78.41250718326043,17.598524567854238]]]}"
00000000000000000001,,0.0,4.614137651514097E-5,0.5013327067669173,,5.2049839723610066E-5,0.3863740601503759,,4.812775296157946E-5,,0.14224700294989231,3.729667316168886E-5,0.3514680451127819,0.0,3.624039244821797E-5,0.16532706766917293,0.0,6.230275354385016E-5,0.30840037593984965,0.0,1.4344535596668223E-4,0.3398214285714286,,6.127672616524843E-5,0.6331748120300752,0.03445761785186108,6.372643549855519E-5,0.6177969924812029,0.0,4.5332035865132023E-5,0.6092631578947367,0.0,4.5192352086906515E-5,0.5325733082706766,,5.335126115877144E-5,0.6010206766917293,0.06511256291904167,5.8134236439068E-5,0.7377932330827067,,5.678339324985623E-5,0.6113740601503759,0.0,7.99675165741141E-5,0.4876785714285714,0.0,8.330625622196313E-5,0.5362969924812029,0.0,4.764682307721847E-5,0.4709661654135338,,6.396779644999997E-5,0.4855958646616541,0.0,8.074447942985427E-5,0.4108872180451128,0.0,9.426626713780048E-5,,0.2570938772900461,8.000460375855594E-5,,0.36543523306733905,7.226327043958904E-5,0.743593220338983,0.35403832182169087,,0.7916240601503759,0.12246290594336465,5.74107434658663E-5,0.5419436090225563,,5.846144267705744E-5,0.5477932330827068,0.1757098581619361,1.1761003074451196E-4,0.9651333333333333,0.19829023511946223,7.630911078149263E-5,0.6935375939849625,0.09907212493025705,6.188427284868892E-5,1.291640977443609,0.27082400042448107,4.2621495655226956E-5,1.274954887218045,0.05676224072495164,5.648370745687062E-5,1.5605225563909775,0.07165681570766655,6.395218224495993E-5,1947644.4222,20,HYD_0002,901,17.603224481347986,226391.0724,78.42656454231273,227391.0724,0,20,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.42192038629925,17.59864943742559],[78.43133801818023,17.59876982806824],[78.43120866477601,17.607799485466465],[78.4217911077829,17.60767912623549],[78.42192038629925,17.59864943742559]]]}"
00000000000000000002,,0.0,4.614137651514421E-5,0.49028947368421055,,5.204983972361371E-5,0.39137593984962404,,4.812775296158282E-5,,0.14224700245498562,3.570073028437219E-5,0.34114849624060156,0.0,3.822004949245184E-5,0.17848120300751882,0.0,6.259928768656884E-5,0.30474812030075193,0.0,1.4665013822330722E-4,0.33839285714285716,,6.170461287004767E-5,0.6255206766917293,0.034457616982192525,5.307727167331434E-5,0.5965507518796993,0.0,4.4976465984649946E-5,0.6259793233082707,0.0,3.997845515085658E-5,0.5155845864661656,,5.3691719268720625E-5,0.6008402255639099,0.06511267824326816,5.818156198073972E-5,0.763498120300752,,6.794830852814591E-5,0.5889266917293234,0.0,7.98185283201613E-5,0.5041109022556391,0.0,8.329437679530686E-5,0.5254473684210527,0.0,4.76468230772218E-5,0.476515037593985,,6.396779645000446E-5,0.495577067669173,0.0,8.166266996982475E-5,0.4070733082706768,0.0,9.150334183104067E-5,,0.3328967224737676,8.000460618079663E-5,,0.3744837609105181,7.226327074583982E-5,0.7576992481203009,0.35292930547055923,,0.7939736842105265,0.12246290594337321,5.741074346587032E-5,0.5429060150375941,0.14811522290988835,5.357868780496739E-5,0.5582481203007521,0.17946077883240555,1.1876337521241854E-4,0.7111244979919679,0.1280098750066442,7.65543253882684E-5,0.704545112781955,0.11658994759633994,7.705337503262408E-5,1.3011466165413537,0.2711876881827736,4.257129397667521E-5,1.286449248120301,0.05676224082707408,5.6445602240264276E-5,1.4535375939849626,0.07259478363259164,6.56773248287689E-5,1947644.4222,21,HYD_0003,946,17.60334745656284,227391.0724,78.435981029435,228391.0724,0,21,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.43133801818023,17.59876982806824],[78.44075114164264,17.59889463760825],[78.44062631102797,17.607924356730884],[78.43120866477601,17.607799485466465],[78.43133801818023,17.59876982806824]]]}"
00000000000000000003,,0.0,4.66346960584144E-5,0.48087265917602995,,5.0765179062043045E-5,0.39711235955056173,,4.1629099736167415E-5,,,3.567550811569487E-5,0.3317546816479401,0.0,3.824986301314355E-5,0.17966666666666664,0.0,6.120410974876116E-5,0.29791760299625464,0.0,1.4690940168182354E-4,0.33882771535580525,,5.581970289429505E-5,0.6151029962546815,0.034457616895137995,5.2963178933898745E-5,0.5910524344569288,0.0,4.510027822262041E-5,0.6311554307116103,0.0,3.965759970017297E-5,0.5207303370786517,,5.399799950958002E-5,0.6508558052434457,0.0651128060457836,5.8233958626067886E-5,0.7265093632958801,,6.897092099347187E-5,0.5884812734082396,0.0,7.931817245377301E-5,0.5124419475655431,0.0,7.353269921468183E-5,0.5300355805243446,0.0,4.76468230772584E-5,0.47886329588014975,,6.351412052382087E-5,0.49534082397003754,,8.167249325202095E-5,0.39406741573033705,0.0,9.155732219817388E-5,,0.3547390001807045,8.000460625608022E-5,,0.37783342244606133,,0.7871302681992338,0.3522651068041713,,0.764191011235955,0.12246552331222937,5.740986786837883E-5,0.5279363295880151,0.14811521780045783,4.6154627633559815E-5,0.5543857677902623,0.17959368421500002,1.1780177771006526E-4,0.6975992509363296,0.12800987521620105,7.656814992308843E-5,0.7156741573033706,0.1185991878387572,7.87932242781585E-5,1.2990299625468167,0.2731249102539357,4.194126377313893E-5,1.2571460674157304,0.056762240827117685,5.644560224030763E-5,1.4509681647940074,0.0749599108339813,7.002734740707083E-5,1947644.4222,22,HYD_0004,991,17.60346936131066,228391.0724,78.44539642811792,229391.0724,0,22,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.44075114164264,17.59889463760825],[78.45016877791868,17.59901506153213],[78.4500394482954,17.6080447547245],[78.44062631102797,17.607924356730884],[78.44075114164264,17.59889463760825]]]}"
00000000000000000004,,0.0,4.932910182010978E-5,0.4977838345864662,,3.321568085653147E-5,0.4046184210526316,,3.277886571594408E-5,,,3.565812442001789E-5,0.32925939849624064,0.0,3.735957238368905E-5,,0.0,6.104719795983216E-5,0.2987932330827068,0.0,1.4691086835223255E-4,0.34315225563909774,,5.092576525992221E-5,0.6156766917293234,,5.368529349286985E-5,0.5936353383458648,0.0,5.074679958305587E-5,0.6311860902255639,0.0,3.965930355959829E-5,0.5246259398496241,,6.038159316483059E-5,0.657450643776824,0.06511957297375792,5.827902182513281E-5,0.7348834586466166,,6.897669663883426E-5,0.5956785714285716,0.0,5.989722815428593E-5,0.5152142857142857,0.0,6.937365833434875E-5,0.5407086466165414,0.0,4.7699455670204184E-5,0.4744323308270677,,5.98305888499566E-5,0.5019454887218046,,8.167249325194606E-5,0.400295112781955,0.0,9.185262300356222E-5,,0.355488083281489,,,0.38834064034441196,,0.7581818181818183,0.319044973186276,,0.7666503759398497,0.12468633142962451,5.666693315507413E-5,0.5187368421052632,0.14811521768565258,4.599415115079319E-5,0.5598045112781956,0.18331801829120778,9.085546237166225E-5,0.7064323308270678,,7.479317361018904E-5,0.71603007518797,0.1186171248554808,7.880875637053811E-5,1.2695,0.2791888138683044,4.050956227799076E-5,1.2092800751879702,0.05676224082706562,5.644560224025587E-5,1.4638552631578947,0.07501207292077551,7.012328569542261E-5,1947644.4222,23,HYD_0005,1036,17.60359047340871,229391.0724,78.45481181634253,230391.0724,0,23,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.45016877791868,17.59901506153213],[78.45958199136545,17.599135463927308],[78.45945709699211,17.60816512376323],[78.4500394482954,17.6080447547245],[78.45016877791868,17.59901506153213]]]}"
00000000000000000005,,0.0,4.7670205130248693E-5,0.4944097744360903,,3.199087950633629E-5,0.4229736842105264,,3.27788657159523E-5,,,3.5381818427572924E-5,0.3350958646616543,0.0,3.519271558616079E-5,,0.0,6.104719795984746E-5,0.3012142857142858,0.0,1.4691086835226942E-4,0.33264097744360915,,5.146498560459431E-5,0.6098477443609023,,5.439835276331703E-5,0.6194755639097745,0.0,5.353653250494621E-5,0.6076729323308273,0.0,3.987243676196519E-5,0.5415507518796994,,6.238295222811887E-5,0.648627118644068,0.0681919086228633,5.8403048646210835E-5,0.7239135338345866,,6.897669663885154E-5,0.6190413533834587,0.0,5.510472328750985E-5,0.4970131578947369,0.0,6.937675185703391E-5,0.5659680451127821,0.0,4.9080500848928355E-5,0.43686278195488726,,5.906525315123987E-5,0.48504511278195495,,8.167249325196655E-5,0.4176954887218046,0.0,9.108025070818929E-5,,0.36313324830515137,,,0.40455984131693995,,0.7605454545454547,0.2866948843002131,,0.7503007518796994,0.1480196424334005,4.886115894998497E-5,0.5112406015037595,0.14811521768568975,4.5994151150804716E-5,0.5529022556390979,0.18383067846297013,8.71462616487349E-5,0.7254135338345866,,6.065641544543919E-5,0.7052406015037594,0.11861712485551053,7.880875637055787E-5,,0.2793915237625603,4.051699939234594E-5,1.1948496240601507,0.05676538479407938,5.644502915120646E-5,1.452592105263158,0.07555964351869696,7.034022947296839E-5,1947644.4222,24,HYD_0006,1081,17.6037105182521,230391.0724,78.46422834984592,231391.0724,0,24,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.45958199136545,17.599135463927308],[78.46899954135881,17.599255826993645],[78.46887474522356,17.60828555352834],[78.45945709699211,17.60816512376323],[78.45958199136545,17.599135463927308]]]}"
00000000000000000006,,,4.025570227406714E-5,0.5050037593984963,,3.189146931231085E-5,0.4651127819548872,,3.277886571597034E-5,,,3.510791430018682E-5,0.34046992481203014,0.0,3.519135029961883E-5,,0.0,6.104719795988107E-5,0.3124699248120302,0.0,1.4691086835235027E-4,0.3306597744360902,,5.2004205949290274E-5,0.6097067669172933,,5.4223652941334856E-5,0.6335338345864663,0.0,5.3063948044929375E-5,0.5836278195488722,0.0,4.138328156809659E-5,0.5640676691729325,,6.35103400697008E-5,0.6336015037593986,0.09201766242113418,5.8858898456857975E-5,0.7168947368421053,,6.897669663888953E-5,0.6133646616541354,0.0,5.507155309741172E-5,0.47738909774436095,0.0,7.001677561158872E-5,0.5952706766917294,0.0,5.4411472952350316E-5,0.43121992481203014,,5.8361543207463235E-5,0.4766165413533835,,8.16724932520115E-5,0.4341071428571429,0.0,8.174325322482064E-5,,0.383653282810315,,,0.4699629544995221,,0.7556969696969699,0.2866948843003709,,0.7560044843049326,0.14918236434466922,4.8472189519112215E-5,0.5085037593984963,0.14813792185722954,4.600220258834691E-5,0.5459323308270678,0.18344471361569448,8.802236268567996E-5,0.7321842105263159,,6.001250221746158E-5,0.6989699248120302,0.11861712485557585,7.880875637060126E-5,,0.27960019571257805,4.052465524536609E-5,1.2431635338345863,0.0582236138463992,5.6179220024690726E-5,1.4372969924812031,0.08090591631740197,7.245838669525568E-5,1947644.4222,25,HYD_0007,1126,17.6038305571507,231391.0724,78.47364484484892,232391.0724,0,25,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.46899954135881,17.599255826993645],[78.47841717662097,17.59937625608895],[78.47828788275713,17.60840595685405],[78.46887474522356,17.60828555352834],[78.46899954135881,17.599255826993645]]]}"
00000000000000000007,,,4.0623222493680625E-5,0.48764606741573047,,3.074924923250789E-5,0.3909700374531836,,3.277886571594484E-5,,,3.5237615280000955E-5,0.3449101123595506,0.0,3.3156048541250696E-5,,0.0,6.021775396798402E-5,0.3250074906367042,0.0,1.46910868352236E-4,0.3191404494382023,,5.254509808893643E-5,0.6032902621722848,,4.8836639851622876E-5,0.6381329588014982,0.0,4.6312581495358734E-5,0.5685074906367042,,4.1591592889732584E-5,0.5455430711610487,,6.386294990077603E-5,0.6150805243445694,0.09520950770608314,5.884852497381135E-5,0.7197771535580526,,6.892040376782946E-5,0.602867041198502,0.0,5.2776133827462164E-5,0.46181273408239704,0.0,7.336034938520348E-5,0.5824063670411987,0.0,5.54805564361335E-5,0.4296722846441948,,5.807802303154451E-5,0.46200749063670427,,8.167249325194795E-5,0.4350880149812734,0.0,7.549608364894383E-5,,0.3980663947494544,7.572902543459956E-5,,0.5438238682258125,,0.7561212121212122,0.2866948843001479,,,0.14918236434455312,4.84721895190745E-5,0.5047865168539326,0.15626501306448598,4.890139723429345E-5,0.5365318352059926,0.18054661508774542,9.460075225268526E-5,0.7371048689138577,,6.0012502217414886E-5,0.6996029962546817,0.11856653991464543,7.873067587766689E-5,,0.2798380218540911,4.053338072080715E-5,1.2524794007490636,0.06603412274321835,5.475550367192222E-5,1.4194625468164799,0.08596444874999384,7.446254312524251E-5,1947644.4222,26,HYD_0008,1171,17.603951674243344,232391.0724,78.4830602312184,233391.0724,0,26,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.47841717662097,17.59937625608895],[78.48783038731723,17.59949666439888],[78.48770552751309,17.608526330468496],[78.47828788275713,17.60840595685405],[78.47841717662097,17.59937625608895]]]}"
00000000000000000008,,,4.087836839353375E-5,0.4977865168539325,,2.8364012186381358E-5,0.4142546816479399,,3.2778865715949343E-5,,,3.5727302652876555E-5,0.3733220973782771,0.0,2.552044729729444E-5,,0.0,5.709745175121815E-5,0.33619662921348314,0.0,1.4691086835225614E-4,0.3273689138576778,,5.295240196879938E-5,0.6192528089887639,,4.370277636757882E-5,0.6379157303370785,0.0,3.0251493581314393E-5,0.5950243445692882,,4.1591592889738304E-5,0.5707790262172283,,6.386294990078481E-5,0.6478277153558052,0.09523483301889861,5.88651588979682E-5,0.7924344569288387,,6.871101337514368E-5,0.598067415730337,0.0,4.481813494249357E-5,0.49232022471910103,0.0,7.404085772576517E-5,0.6004999999999999,,5.5361101392658484E-5,0.4375374531835205,,5.799425682956328E-5,0.4749887640449437,,8.167249325195915E-5,0.42950374531835195,0.0,7.5499832746561E-5,,0.408838190978082,7.572902543459956E-5,,0.5505037096337747,,0.764,0.2866948843001872,,,0.14918236434457358,4.8472189519081146E-5,0.5048614232209736,0.18639930807841787,5.9652427647576E-5,0.5538913857677903,0.1772096008062086,1.0217543604083628E-4,0.7470100502512562,,6.001250221742312E-5,0.7092584269662918,0.11837555595435456,7.84358821800958E-5,,0.279992454727937,4.053904662551093E-5,1.2816797752808986,0.06754215061663527,5.448061710921198E-5,1.4419044943820225,0.08596444875000565,7.446254312525272E-5,1947644.4222,27,HYD_0009,1216,17.604071687934944,233391.0724,78.49247675129256,234391.0724,0,27,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.48783038731723,17.59949666439888],[78.49724801709968,17.599617037737872],[78.49712308214212,17.60864667079245],[78.48770552751309,17.608526330468496],[78.48783038731723,17.59949666439888]]]}"
00000000000000000009,,0.0,5.028249576482386E-5,0.4927022471910112,,5.204983972365207E-5,0.3925280898876405,,5.375404458850932E-5,,0.14224172367425728,4.746805596442218E-5,0.3602584269662921,0.0,3.1526271675268575E-5,0.123,0.0,6.270031735770251E-5,0.3172303370786517,0.0,1.4394245226875696E-4,0.358561797752809,,7.44521652638231E-5,0.5492359550561797,0.034457616501096494,7.220984032967508E-5,0.6025224719101123,0.0,4.95833955938279E-5,0.5754101123595506,0.0,4.9452854000292954E-5,0.5017022471910112,,5.341009017104026E-5,0.5862584269662922,0.06509614584405421,5.9662370387313246E-5,0.7398539325842697,,5.6241384299969674E-5,0.636,0.0,8.343651279579014E-5,0.45432584269662923,0.0,9.385062309541988E-5,0.5203651685393259,0.0,5.272653522847883E-5,0.5188033707865167,,6.39677964500516E-5,0.49165168539325843,0.0,7.429226388926195E-5,0.43810674157303375,0.0,9.673058229969737E-5,,0.2341749432548834,7.930421781617605E-5,,0.2851165831090644,7.226326852109674E-5,,0.3529179692270382,,0.83461797752809,0.13211688861409873,5.8899249867192285E-5,0.5550674157303371,0.2512171916248497,6.243609199248742E-5,0.5165280898876404,0.12329528480775229,1.0149343870585979E-4,0.8809719101123596,0.28367266058937973,,0.7052359550561798,0.09800986200576643,6.0964433942024865E-5,1.2498539325842695,0.28293055295960334,4.095036638320894E-5,1.1935786516853932,,5.9609064919675204E-5,1.5127078651685393,0.07344067401253222,6.860858304632828E-5,1946644.4222,17,HYD_0010,767,17.593822417779542,223391.0724,78.39844768082557,224391.0724,1,10017,1947644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.39380576845336,17.589245120123852],[78.40321894854154,17.5893699811932],[78.40308955971089,17.59839967599633],[78.39367645457385,17.59827484567697],[78.39380576845336,17.589245120123852]]]}"
