system:index,grid_id,latitude,longitude,nighttime_lights,.geo
00000000000000000000,HYD_0001,17.60310185050841,78.4171491484952,18.04409912909462,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,HYD_0002,17.603224481347986,78.42656454231273,14.382476388237208,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,HYD_0003,17.60334745656284,78.435981029435,15.757730690798187,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,HYD_0004,17.60346936131066,78.44539642811792,12.394248043585852,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,HYD_0005,17.60359047340871,78.45481181634253,25.6292059218202,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,HYD_0006,17.6037105182521,78.46422834984592,16.077226291435046,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,HYD_0007,17.6038305571507,78.47364484484892,17.209365705207535,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,HYD_0008,17.603951674243344,78.4830602312184,20.617961901189222,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,HYD_0009,17.604071687934944,78.49247675129256,23.140669809286017,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,HYD_0010,17.593822417779542,78.39844768082557,24.9039527041478,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,HYD_0011,17.593947660531015,78.4078619228333,31.083331202746333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,HYD_0012,17.594071816822737,78.41727733715226,21.632359013575293,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,HYD_0013,17.5941951447282,78.42669272012233,13.392214538674136,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,HYD_0014,17.59431594378316,78.43610852026363,13.183044939145553,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,HYD_0015,17.594439269077416,78.44552312307432,13.632942292574194,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,HYD_0016,17.59456008822091,78.45493895685699,17.00828753259546,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,HYD_0017,17.594681168929238,78.46435430402002,13.317022615604186,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,HYD_0018,17.59480122703116,78.47377079564716,14.709529539172566,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,HYD_0019,17.594921637501177,78.4831862204628,18.451897916339693,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,HYD_0020,17.595042019862355,78.49260162725574,25.175079833712662,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,HYD_0021,17.59516167446683,78.50201850581078,19.280239214267034,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,HYD_0022,17.595279102188247,78.51143310122376,13.87675264424661,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,HYD_0023,17.595398718031092,78.52084999854905,13.689899694330759,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,HYD_0024,17.59551723656233,78.53026650965616,9.811462805922577,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,HYD_0025,17.584670129910307,78.38916159718804,26.230109670655093,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,HYD_0026,17.58479275643347,78.39857701841981,19.09209291751569,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,HYD_0027,17.584917608544835,78.40799017373814,20.342649837912194,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,HYD_0028,17.585042466844783,78.41740554019343,26.45994313319599,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,HYD_0029,17.585165091913517,78.42682094005409,20.527214000287575,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,HYD_0030,17.585285871873864,78.43623520546771,17.37943327571609,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,HYD_0031,17.585407794098337,78.44565061800485,14.763678646087644,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,HYD_0032,17.58553111036,78.4550659965373,9.958604800120723,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,HYD_0033,17.585651132006713,78.46448028676369,8.681194849738253,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,HYD_0034,17.58577155869844,78.47389568024911,14.111497329347248,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,HYD_0035,17.585891951881486,78.48331107805902,16.603424260731916,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,HYD_0036,17.586012340004,78.49272648101093,19.802226011122368,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,HYD_0037,17.58613049173897,78.50214186643697,19.769664805557223,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,HYD_0038,17.58624867383253,78.51155723214349,13.796452616125817,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,HYD_0039,17.58636832573611,78.52097412445673,12.237157969130683,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,HYD_0040,17.586485737933316,78.53038877709804,10.616954358418784,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,HYD_0041,17.586603525097715,78.53980452567879,9.55267854027905,"{""type"":""MultiPoint"",""coordinates"":[]}"
