system:index,20250201_aod_20250201,20250201_cloud_20250201,20250201_no2_20250201,20250202_aod_20250202,20250202_cloud_20250202,20250202_no2_20250202,20250203_aod_20250203,20250203_cloud_20250203,20250203_no2_20250203,20250204_aod_20250204,20250204_cloud_20250204,20250204_no2_20250204,20250205_aod_20250205,20250205_cloud_20250205,20250205_no2_20250205,20250206_aod_20250206,20250206_cloud_20250206,20250206_no2_20250206,20250207_aod_20250207,20250207_cloud_20250207,20250207_no2_20250207,20250208_aod_20250208,20250208_cloud_20250208,20250208_no2_20250208,20250209_aod_20250209,20250209_cloud_20250209,20250209_no2_20250209,20250210_aod_20250210,20250210_cloud_20250210,20250210_no2_20250210,20250211_aod_20250211,20250211_cloud_20250211,20250211_no2_20250211,20250212_aod_20250212,20250212_cloud_20250212,20250212_no2_20250212,20250213_aod_20250213,20250213_cloud_20250213,20250213_no2_20250213,20250214_aod_20250214,20250214_cloud_20250214,20250214_no2_20250214,20250215_aod_20250215,20250215_cloud_20250215,20250215_no2_20250215,20250216_aod_20250216,20250216_cloud_20250216,20250216_no2_20250216,20250217_aod_20250217,20250217_cloud_20250217,20250217_no2_20250217,20250218_aod_20250218,20250218_cloud_20250218,20250218_no2_20250218,20250219_aod_20250219,20250219_cloud_20250219,20250219_no2_20250219,20250220_aod_20250220,20250220_cloud_20250220,20250220_no2_20250220,20250221_aod_20250221,20250221_cloud_20250221,20250221_no2_20250221,20250222_aod_20250222,20250222_cloud_20250222,20250222_no2_20250222,20250223_aod_20250223,20250223_cloud_20250223,20250223_no2_20250223,20250224_aod_20250224,20250224_cloud_20250224,20250224_no2_20250224,20250225_aod_20250225,20250225_cloud_20250225,20250225_no2_20250225,20250226_aod_20250226,20250226_cloud_20250226,20250226_no2_20250226,20250227_aod_20250227,20250227_cloud_20250227,20250227_no2_20250227,20250228_aod_20250228,20250228_cloud_20250228,20250228_no2_20250228,bottom,col_index,grid_id,id,latitude,left,longitude,right,row_index,sort_key,top,.geo
00000000000000000000,0.3633909090909091,0.0,9.18615456078657E-5,0.32139636363636365,0.0,6.765122482072973E-5,0.27100727272727276,0.0,5.279620745570729E-5,0.20588000000000004,0.05232248105618027,8.238123196648984E-5,0.5395599999999999,,7.24644100914943E-5,0.4709854545454546,,6.720095496652097E-5,1.2864945454545456,0.21628400683412,4.760018055096385E-5,0.876378181818182,0.21204830666655963,4.2942639725850225E-5,0.5288509090909091,,5.2082651476335986E-5,0.8769381818181818,0.05321953990634129,4.76802819643999E-5,0.7748290909090909,0.06474064985563992,4.776775853039471E-5,0.8406945454545456,,4.030709647837156E-5,0.5210763636363637,,5.033683191870567E-5,,,8.391545945201625E-5,0.2858654545454546,0.0,4.379961319502399E-5,0.24500909090909093,0.0,5.082525855088958E-5,0.4222454545454545,0.0,8.053278015949071E-5,0.4875436363636364,,7.671560860444797E-5,,0.051695199207997894,4.797396193193556E-5,0.7782836363636364,0.38030589663334824,,0.5213490909090909,0.43085791854768773,3.575111170397487E-5,0.5257709090909092,0.20996197552451057,4.8194395863837234E-5,0.3377709090909092,0.0,2.7259492180712094E-5,,0.0,3.842619742454737E-5,0.5294218181818182,0.049654022439864574,5.005058740822442E-5,0.5275781818181818,0.264662206173053,3.3723303204183503E-5,0.5619981818181817,0.0,3.50872607050975E-5,0.6300127272727273,0.0,6.175212260149368E-5,1947644.4222,19,HYD_0001,856,17.60310185050841,225391.0724,78.4171491484952,226391.0724,0,19,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.41250718326043,17.598524567854238],[78.42192038629925,17.59864943742559],[78.4217911077829,17.60767912623549],[78.41237789289268,17.607554193796087],[78.41250718326043,17.598524567854238]]]}"
00000000000000000001,0.370031954887218,0.0,8.937316977766114E-5,0.3191578947368421,0.0,6.479733401972544E-5,0.25387030075187966,0.0,5.279620745567282E-5,0.20953383458646616,0.05232248083088995,8.23964601803454E-5,0.5126973684210526,,7.2779642277404E-5,0.4679473684210526,,5.432653027566474E-5,1.296218045112782,0.2162840068339788,4.760018055093276E-5,0.8595150375939848,0.21959573388373785,4.3424307093840825E-5,0.5327744360902256,,5.19163586431991E-5,0.8504473684210526,0.05380716790690128,4.858327782436784E-5,0.7682838345864661,,4.8793630775802344E-5,0.8467293233082704,,4.018604886367894E-5,0.5088458646616542,,5.033683191867282E-5,,,6.621587799438689E-5,0.309281954887218,0.0,4.354243398539151E-5,0.24250751879699245,0.0,5.0760205340326816E-5,0.42050563909774424,0.0,7.3616143800724E-5,0.48090601503759395,,7.816532019918236E-5,,0.04902196284833001,4.994025716583018E-5,0.7612067669172933,0.3803116200048856,,0.5202443609022557,0.33486829264488716,3.575111379639944E-5,0.5180338345864662,0.21000124514097948,4.819352398043285E-5,0.3338214285714286,,2.7299578505328898E-5,,0.0,3.32507943012806E-5,0.48465789473684207,0.049298712838215915,5.237668316281779E-5,0.5256015037593985,0.2646622061728803,3.372330320416149E-5,0.5576466165413534,0.0,3.3354930816522255E-5,0.6027537593984962,0.0,5.279631989135868E-5,1947644.4222,20,HYD_0002,901,17.603224481347986,226391.0724,78.42656454231273,227391.0724,0,20,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.42192038629925,17.59864943742559],[78.43133801818023,17.59876982806824],[78.43120866477601,17.607799485466465],[78.4217911077829,17.60767912623549],[78.42192038629925,17.59864943742559]]]}"
00000000000000000002,0.3598383458646618,0.0,8.933262142816926E-5,0.3119887218045113,0.0,6.758408895049622E-5,0.23787781954887222,0.0,5.268094608961827E-5,0.2163195488721805,0.05232248100693703,8.244604171702842E-5,0.4910375939849624,,7.291470285663715E-5,0.4681992481203009,,5.267565287754793E-5,1.2984398496240601,0.20558074640382504,4.9368005973493665E-5,0.8282593984962406,0.23409476761466078,4.441063341450419E-5,0.538872180451128,,5.191635864320273E-5,0.8015112781954888,0.05225914244928744,4.486406736441379E-5,0.8849849624060151,,4.9343468685017864E-5,0.8551109022556391,,4.0207959768957556E-5,0.4763646616541354,,4.711230875005703E-5,,,6.2731360028103E-5,0.30610902255639105,0.0,4.2489541097390784E-5,0.24149812030075188,0.0,5.076020534033038E-5,0.4198533834586467,0.0,7.223753077936369E-5,0.4772781954887219,0.039493639990590364,7.867690360800156E-5,,0.047206197434642196,4.2866376636461215E-5,0.742451127819549,0.3874126142792269,,0.520015037593985,0.33760868168944547,3.575111270907621E-5,0.5115263157894737,0.33641251147473517,4.819352374233206E-5,0.3244718045112782,0.0,3.512958865169661E-5,,0.0,3.2060096786363214E-5,0.4665075187969925,0.04924025862345681,5.275936378890156E-5,0.5291315789473685,0.26466220617289876,3.372330320416385E-5,0.5609962406015038,0.0,3.172082176865465E-5,0.5882857142857143,0.0,3.774911907351649E-5,1947644.4222,21,HYD_0003,946,17.60334745656284,227391.0724,78.435981029435,228391.0724,0,21,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.43133801818023,17.59876982806824],[78.44075114164264,17.59889463760825],[78.44062631102797,17.607924356730884],[78.43120866477601,17.607799485466465],[78.43133801818023,17.59876982806824]]]}"
00000000000000000003,0.3512883895131087,0.0,8.05085009657103E-5,0.31018726591760293,0.0,6.914835513116E-5,0.23658614232209735,0.0,5.2426567767149995E-5,0.22061048689138577,0.05232248076947909,8.249742943997115E-5,0.4691441947565543,,6.995988495386732E-5,0.46826966292134836,,5.254835022847209E-5,1.2810486891385768,0.15900366231675248,5.706100325181124E-5,0.8194531835205993,0.2446120411118231,4.5128365378095976E-5,0.5421385767790262,,5.191635864324261E-5,0.7974812734082397,0.051151497763990014,4.385407599876552E-5,0.8855355805243444,,5.3773216717026135E-5,0.8586779026217227,,4.320632972905143E-5,0.45865730337078653,,4.2654291540144784E-5,,,6.338760353885477E-5,0.30314044943820223,,4.305267612074271E-5,0.2418483146067416,0.0,5.467583586903936E-5,0.4164700374531835,0.0,7.161481067206261E-5,0.4420355805243445,0.039493639990590364,7.74163854239124E-5,,0.04882730662762611,4.323153338976708E-5,0.729187265917603,0.8170151631957139,,0.5203408239700374,0.35450124809196726,3.575111269606798E-5,0.5053857677902621,0.4369433670442901,4.8193523786108546E-5,0.3312640449438203,0.0,4.4608965151517515E-5,,0.0,3.153648211282897E-5,0.4662659176029963,0.0492393225431738,5.276549200064877E-5,0.5381498127340824,0.26503228898744596,3.3723303228953674E-5,0.5648576779026215,0.0,3.179156312549446E-5,0.5933164794007492,0.0,3.6633343146333166E-5,1947644.4222,22,HYD_0004,991,17.60346936131066,228391.0724,78.44539642811792,229391.0724,0,22,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.44075114164264,17.59889463760825],[78.45016877791868,17.59901506153213],[78.4500394482954,17.6080447547245],[78.44062631102797,17.607924356730884],[78.44075114164264,17.59889463760825]]]}"
00000000000000000004,0.3516917293233084,0.0,7.369411204992467E-5,0.3051127819548872,0.0,6.967397616743739E-5,0.24024248120300756,0.0,5.176883887437715E-5,0.22350000000000003,0.052322480946544,8.254520479035185E-5,0.452609022556391,,5.487791867676413E-5,0.4697142857142858,,4.656518383229192E-5,1.2700977443609023,0.15796449780459176,5.723263893740304E-5,0.8240300751879701,0.247076211326399,4.529652892674654E-5,0.5450601503759399,,5.1916358643195005E-5,0.801281954887218,0.05130904030773363,4.491786887583547E-5,0.8953308270676693,,5.566605561573235E-5,0.8563984962406017,,4.983443826248374E-5,0.46856766917293247,,4.255899693815553E-5,,,7.232164088043138E-5,0.3003966165413534,,4.3722087504833416E-5,0.24852443609022556,0.0,5.974387386229794E-5,0.42217105263157906,0.0,8.048935798268472E-5,0.4382819548872181,,7.73899446357728E-5,,0.0495290261014302,4.365449914831074E-5,0.7305751879699249,0.8571723042150006,,0.5243157894736843,0.3712206536000496,3.5751112825722754E-5,0.5094586466165415,0.43776250052259125,5.0697415409000275E-5,0.3418778195488722,0.0,4.481015275813153E-5,,,3.149891563224541E-5,0.515513157894737,0.049239322543128634,5.27654920006004E-5,0.5423157894736843,0.2847783498428222,3.3723304058322034E-5,0.5655112781954887,0.0,3.247510019856293E-5,0.6130169172932333,0.0,3.744764062081606E-5,1947644.4222,23,HYD_0005,1036,17.60359047340871,229391.0724,78.45481181634253,230391.0724,0,23,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.45016877791868,17.59901506153213],[78.45958199136545,17.599135463927308],[78.45945709699211,17.60816512376323],[78.4500394482954,17.6080447547245],[78.45016877791868,17.59901506153213]]]}"
00000000000000000005,0.3497819548872181,0.0,7.749251391474798E-5,0.3031954887218046,0.0,6.750810140345392E-5,0.2568007518796993,0.0,4.422315649558834E-5,0.22143609022556396,0.05191647867334216,8.167095058047242E-5,0.462218045112782,,5.496605343210798E-5,0.4726654135338347,,4.231446291668994E-5,1.256135338345865,0.15857068630367444,5.717246816153414E-5,0.8504360902255639,0.24885498868233896,4.541791848556714E-5,0.5420639097744362,0.1279004958153834,5.1717358098280954E-5,0.8254285714285716,0.05149018258228371,4.601055106387945E-5,0.9177424812030076,,5.597705982514837E-5,0.8490827067669175,,5.6515156379900325E-5,0.4857349624060151,,4.2558996938166204E-5,,,8.315839885704913E-5,0.2987744360902255,,4.4381247346064916E-5,0.2553157894736843,0.0,5.97438738623129E-5,0.41783834586466173,0.0,8.176111965732178E-5,0.443857142857143,,7.738994463579221E-5,,0.04988855905849601,4.387328529162514E-5,0.7277293233082709,0.8569085499070443,,0.5214135338345866,0.3816945511895549,3.804731573946987E-5,0.4971917293233084,0.3919349285433822,5.069741525980283E-5,0.3543684210526316,0.0,4.4775111406237816E-5,,,3.149891563225331E-5,0.5372048872180452,0.04923932254314099,5.2765492000613624E-5,0.5396503759398499,0.31697282195089166,,0.5603984962406015,0.0,4.0012232471480504E-5,0.6166917293233084,0.0,4.991792652548351E-5,1947644.4222,24,HYD_0006,1081,17.6037105182521,230391.0724,78.46422834984592,231391.0724,0,24,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.45958199136545,17.599135463927308],[78.46899954135881,17.599255826993645],[78.46887474522356,17.60828555352834],[78.45945709699211,17.60816512376323],[78.45958199136545,17.599135463927308]]]}"
00000000000000000006,0.32997368421052625,0.0,7.956297165016362E-5,0.30136466165413534,0.0,4.85528826477954E-5,0.2644342105263158,0.0,3.490988265218701E-5,0.218515037593985,0.0470574558046612,7.072646064481462E-5,0.48110526315789487,,5.5056780386132407E-5,0.47098496240601506,,4.234897113978916E-5,1.243872180451128,0.16351855001468427,5.476101145277691E-5,0.8649812030075188,0.24916538596165339,4.543910108625298E-5,0.5391616541353385,0.12790049587282207,4.87394819756268E-5,0.8594736842105264,0.05167133070085538,4.7103289723817744E-5,0.9486503759398496,,5.4379983429564056E-5,0.855671052631579,,6.154501344393591E-5,0.49569172932330824,,4.2641545245127294E-5,,,8.843866346231812E-5,0.31601315789473694,,4.504040718725139E-5,0.25875563909774435,0.0,5.974448854927197E-5,0.4112011278195489,0.0,8.17420260063168E-5,0.4621353383458647,0.08012696197400576,7.738991221685379E-5,,0.0498915910721067,4.387513035910469E-5,0.7374097744360901,0.8566370365132389,,0.5179436090225564,0.33881146984571847,5.6842741469435914E-5,0.4857218045112783,0.1725479138146202,5.0697414538514944E-5,0.3514981203007519,0.0,4.243154748154748E-5,,,3.149891563227065E-5,0.5511127819548872,0.0492393225431681,5.276549200064267E-5,0.5389135338345866,0.31697282195106613,,0.5564793233082705,0.0,4.332244549702607E-5,0.6224436090225564,0.0,5.7994824601365435E-5,1947644.4222,25,HYD_0007,1126,17.6038305571507,231391.0724,78.47364484484892,232391.0724,0,25,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.46899954135881,17.599255826993645],[78.47841717662097,17.59937625608895],[78.47828788275713,17.60840595685405],[78.46887474522356,17.60828555352834],[78.46899954135881,17.599255826993645]]]}"
00000000000000000007,0.27305243445692884,0.0,7.285050047238375E-5,0.3006292134831461,0.0,4.51549494755322E-5,0.2867191011235955,0.0,3.483644104561678E-5,0.21704868913857683,0.03868711354473902,5.212044132671522E-5,0.464994382022472,,5.514893211442974E-5,0.46529588014981277,,4.094555498009825E-5,1.2418127340823972,0.16726399175787315,4.511428172104584E-5,0.8658726591760301,0.24917398433180227,4.543910107908759E-5,0.5374082397003748,0.12790049612518373,4.1651856008672045E-5,0.8394794007490638,0.0518401455065293,4.812160861098574E-5,0.9471535580524345,,4.4211136197126033E-5,0.8591498127340826,,5.9885014894149235E-5,0.5092584269662922,,4.371754594223623E-5,,,8.63861045445498E-5,0.3210074906367042,,4.570097128677065E-5,0.2556685393258427,0.0,5.997619598000376E-5,0.4030299625468166,0.0,7.63069062247244E-5,0.5613183520599252,0.08012696278096224,7.73512616843203E-5,,0.04989159107206788,4.3875130359070546E-5,0.7441610486891387,0.8563479138031385,,0.5148539325842697,0.2824497366259284,6.453149321219293E-5,0.47952059925093643,0.1690535545348625,5.06974138261136E-5,0.35207303370786525,0.0,3.180556303721098E-5,,0.0,3.149779031246706E-5,0.554368913857678,0.04959189579963579,5.1469123933495415E-5,0.5410374531835207,0.3169728219508195,,0.5498108614232212,0.0,4.357231335564194E-5,0.6280393258426967,0.0,5.798905232494614E-5,1947644.4222,26,HYD_0008,1171,17.603951674243344,232391.0724,78.4830602312184,233391.0724,0,26,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.47841717662097,17.59937625608895],[78.48783038731723,17.59949666439888],[78.48770552751309,17.608526330468496],[78.47828788275713,17.60840595685405],[78.47841717662097,17.59937625608895]]]}"
00000000000000000008,0.27629213483146065,0.0,7.188914193072562E-5,0.3036329588014981,0.0,4.515494947553839E-5,0.28709550561797753,0.0,3.483644104562157E-5,0.22300749063670408,0.038687113789014294,5.215406975397761E-5,0.45833520599250926,,5.521607685643529E-5,0.4671123595505617,,3.504003596390845E-5,1.2636779026217224,0.17556924351730321,4.711524213150394E-5,0.8572883895131085,0.249205921135967,4.5439101052610876E-5,0.5409250936329587,0.12790049612520127,4.1651856008677764E-5,0.7653632958801497,0.051925442881593446,4.863613989243773E-5,0.9541292134831457,,4.205131335765398E-5,0.8674737827715355,,6.036111639553382E-5,0.50888202247191,,4.6179665838687896E-5,,,7.37163363432581E-5,0.3200468164794006,,4.6198872308859084E-5,0.2662191011235954,0.0,6.083600059469195E-5,0.4139812734082396,0.0,7.179729436755922E-5,0.5593745318352059,0.08012696315139455,7.72064103762922E-5,,0.04989159107207473,4.387513035907656E-5,0.762955056179775,0.8561469840636521,,0.5194194756554306,0.283456442552779,6.453149403331977E-5,0.5054382022471909,0.16905355453488574,5.069741382612056E-5,0.35082584269662914,0.0,3.0990162485972797E-5,,0.0,3.149361055329197E-5,0.5532621722846441,0.05091932941935945,4.6588315409175925E-5,0.5494307116104867,0.31697282195086296,,0.5604438202247191,0.0,4.3589360598849404E-5,0.6479119850187264,0.0,5.7967612441278595E-5,1947644.4222,27,HYD_0009,1216,17.604071687934944,233391.0724,78.49247675129256,234391.0724,0,27,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.48783038731723,17.59949666439888],[78.49724801709968,17.599617037737872],[78.49712308214212,17.60864667079245],[78.48770552751309,17.608526330468496],[78.48783038731723,17.59949666439888]]]}"
00000000000000000009,0.35229213483146066,0.0,1.0309950708558824E-4,0.33720786516853934,0.0,8.463109517009655E-5,0.2442696629213483,0.0,5.27843244606835E-5,0.20552808988764046,0.05232248082759977,8.335469465241858E-5,0.5298988764044944,,7.530141869630773E-5,0.5561123595505619,,6.858640699651274E-5,1.3281348314606742,0.21487232754676613,5.034712294915229E-5,0.9018314606741573,0.24793890666796894,4.31411717370951E-5,0.5339438202247192,,5.4906477204628426E-5,0.8613483146067417,0.058854475617442274,5.633937325913874E-5,0.7411685393258428,0.06474064921250731,5.9994177012113086E-5,0.8271460674157304,,4.200386218657318E-5,0.509376404494382,,5.033683191871345E-5,,,8.47775736474915E-5,0.32267977528089886,0.0,5.4363478886554477E-5,0.2556179775280899,0.0,5.800018543429008E-5,0.4370337078651686,0.0,9.486850066440837E-5,0.4821966292134832,,7.953574822754475E-5,,0.05169519765374681,5.2210409024783685E-5,0.8033595505617978,0.3809701800348545,,0.5352359550561798,0.5998814105990967,,0.5402921348314608,0.15170349238737718,4.94878794141112E-5,0.33708988764044945,0.3141508066178191,2.7299578270409097E-5,,0.0,4.767668313112041E-5,0.5237359550561799,0.04966379702094046,4.998659642299691E-5,0.5387078651685394,0.2646622061730939,3.3723303204188714E-5,0.5833595505617978,0.0,3.806855456853197E-5,0.651561797752809,0.0,6.330271713391269E-5,1946644.4222,17,HYD_0010,767,17.593822417779542,223391.0724,78.39844768082557,224391.0724,1,10017,1947644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.39380576845336,17.589245120123852],[78.40321894854154,17.5893699811932],[78.40308955971089,17.59839967599633],[78.39367645457385,17.59827484567697],[78.39380576845336,17.589245120123852]]]}"
