system:index,20250801_aod_20250801,20250801_cloud_20250801,20250801_no2_20250801,20250802_aod_20250802,20250802_cloud_20250802,20250802_no2_20250802,20250803_aod_20250803,20250803_cloud_20250803,20250803_no2_20250803,20250804_aod_20250804,20250804_cloud_20250804,20250804_no2_20250804,20250805_aod_20250805,20250805_cloud_20250805,20250805_no2_20250805,20250806_aod_20250806,20250806_cloud_20250806,20250806_no2_20250806,20250807_aod_20250807,20250807_cloud_20250807,20250807_no2_20250807,20250808_aod_20250808,20250808_cloud_20250808,20250808_no2_20250808,20250809_aod_20250809,20250809_cloud_20250809,20250809_no2_20250809,20250810_aod_20250810,20250810_cloud_20250810,20250810_no2_20250810,20250811_aod_20250811,20250811_cloud_20250811,20250811_no2_20250811,20250812_aod_20250812,20250812_cloud_20250812,20250812_no2_20250812,20250813_aod_20250813,20250813_cloud_20250813,20250813_no2_20250813,20250814_aod_20250814,20250814_cloud_20250814,20250814_no2_20250814,20250815_aod_20250815,20250815_cloud_20250815,20250815_no2_20250815,20250816_aod_20250816,20250816_cloud_20250816,20250816_no2_20250816,20250817_aod_20250817,20250817_cloud_20250817,20250817_no2_20250817,20250818_aod_20250818,20250818_cloud_20250818,20250818_no2_20250818,20250819_aod_20250819,20250819_cloud_20250819,20250819_no2_20250819,20250820_aod_20250820,20250820_cloud_20250820,20250820_no2_20250820,20250821_aod_20250821,20250821_cloud_20250821,20250821_no2_20250821,20250822_aod_20250822,20250822_cloud_20250822,20250822_no2_20250822,20250823_aod_20250823,20250823_cloud_20250823,20250823_no2_20250823,20250824_aod_20250824,20250824_cloud_20250824,20250824_no2_20250824,20250825_aod_20250825,20250825_cloud_20250825,20250825_no2_20250825,20250826_aod_20250826,20250826_cloud_20250826,20250826_no2_20250826,20250827_aod_20250827,20250827_cloud_20250827,20250827_no2_20250827,20250828_aod_20250828,20250828_cloud_20250828,20250828_no2_20250828,20250829_aod_20250829,20250829_cloud_20250829,20250829_no2_20250829,20250830_aod_20250830,20250830_cloud_20250830,20250830_no2_20250830,20250831_aod_20250831,20250831_cloud_20250831,20250831_no2_20250831,bottom,col_index,grid_id,id,latitude,left,longitude,right,row_index,sort_key,top,.geo
00000000000000000000,,0.11734847472454146,5.917655860982232E-6,,0.37367977271491043,,,0.10657991008762928,1.5601879737126532E-5,,0.6479788720610449,,,0.18990024364679925,2.8645113181353552E-5,,0.38022598823461734,5.2191524334614175E-5,,0.5941603408239582,,,1.0000000000004063,,,0.3847205023939762,,,0.8736422657970244,,,0.8088499307635806,,,0.44903182373830647,,,1.0000000016942538,,,0.9672547872031999,,,0.5980408477346755,,,0.9999747002580566,,,0.9999999999999339,,,1.0000000000004334,,,1.000000030224108,,,0.9554350064738744,,,0.47105668510115667,1.663601381810837E-5,,0.7294213582879906,,,0.22081173072755333,1.85387845840272E-5,,0.8963258266452698,,,0.25200528205197126,1.776090715190202E-5,,1.0000000000004152,,,1.0000000000004152,,,0.9999999990298306,,,0.32230226401044454,1.8282917291583978E-5,,0.411654789928726,,,0.2683616787718542,6.351556285762508E-6,1947644.4222,19,HYD_0001,856,17.60310185050841,225391.0724,78.4171491484952,226391.0724,0,19,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.41250718326043,17.598524567854238],[78.42192038629925,17.59864943742559],[78.4217911077829,17.60767912623549],[78.41237789289268,17.607554193796087],[78.41250718326043,17.598524567854238]]]}"
00000000000000000001,,0.0948544309317829,1.5974794348538576E-5,,0.42223406323663376,,,0.0918611488063869,1.5601879613797732E-5,,0.6479788720606219,,,0.1894113034206594,2.878007126830658E-5,,0.3659838135538041,5.265053016951673E-5,,0.7716556739186071,,,1.0000000043144575,,,0.38593116790823645,,,0.8736422657964539,,,0.8088499307630524,,,0.4483519095261106,,,1.0000000061847243,,,0.9672292470929711,,,0.5978364605473468,,,0.9999980902223309,,,1.0000000407874703,,,0.9999999999999004,,,1.0000000040623744,,,0.9557629451974265,,,0.4730262772751876,1.6636013924132197E-5,,0.6747538790565168,,,0.2417754448377993,1.8773935983419993E-5,,0.8963258266446846,,,0.24528209590975072,1.776090718540815E-5,,0.9999999999997626,,,0.9999999999997626,,,0.9999999999997626,,,0.3292438734888414,1.8282917403166887E-5,,0.41542437075516786,,,0.2667627725616053,7.340560456916959E-6,1947644.4222,20,HYD_0002,901,17.603224481347986,226391.0724,78.42656454231273,227391.0724,0,20,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.42192038629925,17.59864943742559],[78.43133801818023,17.59876982806824],[78.43120866477601,17.607799485466465],[78.4217911077829,17.60767912623549],[78.42192038629925,17.59864943742559]]]}"
00000000000000000002,,0.09334299562422778,1.7350968341626473E-5,,0.427372664213109,,,0.08418189123378009,1.5601879572386203E-5,,0.653280518836123,,,0.18879335676554632,2.895063792245393E-5,,0.29497992968798403,4.668793726623344E-5,,0.8745030078355404,,,1.0000000002973977,,,0.39174553603312084,,,0.8736422657965152,,,0.6657023032187717,,,0.421574703273109,,,0.9999999740254639,,,0.9672292470930387,,,0.5973786002078217,,,0.9999999999998327,,,1.0000000029785134,,,0.999999999999841,,,1.0000000000004743,,,0.9557982913061159,,,0.4759260997667258,1.6636013041186296E-5,,0.6359929994859078,,,0.25591730260557966,1.835050807915222E-5,,0.8963258266447475,,,0.24304960038003912,1.7745447424991568E-5,,0.9999999999998327,,,0.9999999999998327,,,0.9999999999998327,,,0.3292439579963133,,,0.4556798067454821,,,0.26670750975604357,7.374743290709959E-6,1947644.4222,21,HYD_0003,946,17.60334745656284,227391.0724,78.435981029435,228391.0724,0,21,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.43133801818023,17.59876982806824],[78.44075114164264,17.59889463760825],[78.44062631102797,17.607924356730884],[78.43120866477601,17.607799485466465],[78.43133801818023,17.59876982806824]]]}"
00000000000000000003,,0.0995865766894589,1.8464126192754215E-5,,0.427286433966963,,,0.0817367304913295,1.5601879567917176E-5,,0.6624363361247436,,,0.1874985468041197,2.908558814924287E-5,,0.2549034766702063,3.6023183939290466E-5,,0.8674917148326954,,,1.0000000000006006,,,0.3921245634558171,,,0.8736422657971861,,,0.5858106564237797,,,0.40648261242684397,,,1.0000000371417916,,,0.9672292470937817,,,0.5969113576372536,,,1.0000000000006006,,,1.0000000000004843,,,1.0000000000006006,,,0.9999999838138388,,,0.9557982981208472,,,0.4788079449064878,1.663601298855354E-5,,0.5548880422270847,1.572826365224639E-5,,0.33523570922830676,1.6759721223415127E-5,,0.8953763644458377,,,0.24380030224167284,1.4677456901916041E-5,,1.0000000000006006,,,1.0000000000006006,,,1.0000000000006006,,,0.32390735922212144,2.8464698889817845E-5,,0.5036333997171506,,,0.2667075097562484,7.3747432907156226E-6,1947644.4222,22,HYD_0004,991,17.60346936131066,228391.0724,78.44539642811792,229391.0724,0,22,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.44075114164264,17.59889463760825],[78.45016877791868,17.59901506153213],[78.4500394482954,17.6080447547245],[78.44062631102797,17.607924356730884],[78.44075114164264,17.59889463760825]]]}"
00000000000000000004,,0.11343248220756662,2.554050882590287E-5,,0.4172088679910574,,,0.08167381584641734,1.560187956783427E-5,,0.6623277463315171,,,0.15068106073851623,2.7729968851686587E-5,,0.23749678321439374,3.574719592551294E-5,,0.8565874110047652,,,0.9999999999996837,,,0.3921245634554576,,,0.8743982958802733,,,0.5842457413671553,,,0.40618750490666095,4.266761084561128E-6,,0.9999999939126288,,,0.9672292470928946,,,0.5964628795285704,,,0.9999999999996941,,,0.9999999999996431,,,0.9999999999996877,,,0.999999999971774,,,0.9557982981204226,,,0.48180951457877025,1.6638870410848698E-5,,0.35112981423838574,1.572826297059569E-5,,0.3427747922009763,2.6024795974005844E-6,,0.8482288932302413,,,0.24418053030959985,1.3301229046187814E-5,,0.9999999999996837,,,0.9999999999996837,,,0.9999999999996837,,,0.2961116713726566,2.860997739276594E-5,,0.5234875378274159,,,0.2667075097560039,7.3747432907088615E-6,1947644.4222,23,HYD_0005,1036,17.60359047340871,229391.0724,78.45481181634253,230391.0724,0,23,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.45016877791868,17.59901506153213],[78.45958199136545,17.599135463927308],[78.45945709699211,17.60816512376323],[78.4500394482954,17.6080447547245],[78.45016877791868,17.59901506153213]]]}"
00000000000000000005,,0.11477039848111426,2.594603725593802E-5,,0.3590740664008533,,,0.08284668651518365,1.5627915106730316E-5,,0.7005742505130401,,,0.09970235302553614,2.546255427879366E-5,,0.21841880093659677,3.624672782784878E-5,,0.9273900908816303,,,0.9999999999999344,,,0.3921245634555559,,,0.8955596374773241,,,0.5840889020549547,,,0.4061875097310223,4.2667610919956245E-6,,0.9999999953765712,,,0.9672292470931373,,,0.5960181009131423,,,1.0000000000000908,,,0.9999999999991498,,,0.999999999999997,,,0.9999999995829193,,,0.9556824042503094,,,0.4873241533705613,1.6707526341736473E-5,,0.3123802550095531,1.5728262869447962E-5,,0.34961616730227496,2.6024795422904592E-6,,0.7972612919999137,,,0.24418053030966105,1.3301229046191148E-5,,0.9999999999999344,,,0.9999999999999344,,,0.9999999999999344,,,0.24493874565684126,3.070873091536941E-5,,0.5300774845574523,,,0.26670750975607077,7.37474329071071E-6,1947644.4222,24,HYD_0006,1081,17.6037105182521,230391.0724,78.46422834984592,231391.0724,0,24,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.45958199136545,17.599135463927308],[78.46899954135881,17.599255826993645],[78.46887474522356,17.60828555352834],[78.45945709699211,17.60816512376323],[78.45958199136545,17.599135463927308]]]}"
00000000000000000006,,0.11487615512991517,2.4799930204918515E-5,,0.3582325577737638,,,0.09342726994067725,1.5862784302985572E-5,,0.7722948003259327,,,0.09960082610434388,2.5461853883609062E-5,,0.18403673156997588,3.986956085348142E-5,,0.9378946417905624,,,1.000000000000485,,,0.3921245634557718,,,0.9775879098647199,,,0.5730391628598379,,,,4.2667611523959515E-6,,1.00000000691698,,,0.9674555410286748,,,0.5955602405739421,,,1.000000000000485,,,1.0000000002917713,,,1.000000000000485,,,1.000000000000485,,,0.9443894438877861,,,0.502375622115375,1.695118634953464E-5,,0.2773155567723448,1.6346013684195872E-5,,0.4013485509030698,,,0.7862887187669007,,,0.24418053030979553,1.330122904619847E-5,,1.000000000000485,,,1.000000000000485,,,1.0000000000005245,,,0.2212670481682089,3.1590490392450085E-5,,0.5337713829982027,,,0.2667075097562176,7.37474329071477E-6,1947644.4222,25,HYD_0007,1126,17.6038305571507,231391.0724,78.47364484484892,232391.0724,0,25,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.46899954135881,17.599255826993645],[78.47841717662097,17.59937625608895],[78.47828788275713,17.60840595685405],[78.46887474522356,17.60828555352834],[78.46899954135881,17.599255826993645]]]}"
00000000000000000007,,0.12111869532770542,3.0024765074704408E-5,,0.3575908224113078,1.7378364086210056E-5,,0.09975314140316899,1.6003206837917642E-5,,0.7767363196064216,,,0.09959761798378884,2.5461831683052687E-5,,0.17156143608924024,4.071586220440317E-5,,0.934750893568108,,,0.9999999999997067,,,0.37722878219167993,1.0715606933880786E-5,,0.9776067733761781,,,0.5226801496400864,,,0.11616476592668586,4.266780626273867E-6,,0.9999999999997067,,,0.9742517529843276,,,0.595086775609447,,,0.9999999999997067,,,1.00000000150908,,,0.9999999999997067,,,0.9999999999997067,,,0.8895401645343806,,,0.5029197326018706,1.6951186258448556E-5,,0.22630399112530883,2.201570816326324E-5,,0.49433410167679587,,,0.7821301314991583,,,0.24418053030960551,1.330122904618812E-5,,0.9999999999997067,,,0.9999999999997067,,,0.9999999999997464,,,0.21769583119317903,3.159049072174938E-5,,0.5338115096090658,,,0.26670750975601,7.374743290709031E-6,1947644.4222,26,HYD_0008,1171,17.603951674243344,232391.0724,78.4830602312184,233391.0724,0,26,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.47841717662097,17.59937625608895],[78.48783038731723,17.59949666439888],[78.48770552751309,17.608526330468496],[78.47828788275713,17.60840595685405],[78.47841717662097,17.59937625608895]]]}"
00000000000000000008,,0.1318411872913132,4.595411168063507E-5,,0.35516813518359475,1.7378364086210056E-5,,0.09975314140318267,1.6003206837919834E-5,,0.7791037227140427,,,0.09959761798380251,2.546183168305618E-5,,0.16956824372338014,4.07158623002081E-5,,0.9236339744877098,,,0.9999999999998439,,,0.32119103569144847,1.0716201040572836E-5,,0.9776067733763124,,,0.5199128985404158,,,0.11616476592668586,4.266852957833324E-6,,0.9999999999998439,,,0.9952774789904071,,,0.5947479246616417,,,0.9999999999998439,,,0.9999999999998439,,,0.9999999999998439,,,0.9999999999998439,,,0.8809876050804084,,,0.5029197323091389,1.6951186129989996E-5,,0.15612396602186843,3.1206933868959945E-5,,0.49433410167686365,,,0.7808034605420152,,,0.24418053030963902,1.3301229046189943E-5,,0.9999999999998439,,,0.9999999999998439,,,0.999999999999114,,,0.2153641680448464,3.159049075220158E-5,,0.5338115096091391,,,0.2667075097560466,7.374743290710044E-6,1947644.4222,27,HYD_0009,1216,17.604071687934944,233391.0724,78.49247675129256,234391.0724,0,27,1948644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.48783038731723,17.59949666439888],[78.49724801709968,17.599617037737872],[78.49712308214212,17.60864667079245],[78.48770552751309,17.608526330468496],[78.48783038731723,17.59949666439888]]]}"
00000000000000000009,,0.16807427217285426,6.9213379911962994E-6,,0.3354613184930805,,,0.08166299929703161,1.5666441736670014E-5,,0.6479788720611448,,,0.1866092085839381,2.9553510103158725E-5,,0.30654730302861827,5.5324706596680215E-5,,0.6105856513119076,,,1.0000000000005698,,,0.3791394829752221,,,0.8357341505197432,,,0.8088499307637054,,,0.4449655793729234,,,0.9999999693267215,,,0.9672292470937516,,,0.5909359455112009,,,0.9999347925191855,,,1.0000000000013558,,,1.0000000000005698,,,0.9999999900796619,,,0.9557982908279988,,,0.5162647304699315,,,0.6275477792509409,,,0.26354730323595577,1.8847801484852236E-5,,0.8964026176926405,,,0.24294839799417986,1.7760907212515234E-5,,1.0000000000005698,,,1.0000000000005698,,,1.0000000000005698,,,0.2808169424535444,1.8282917153566315E-5,,0.5423215462559341,,,0.2826720065457388,8.068870248758426E-6,1946644.4222,17,HYD_0010,767,17.593822417779542,223391.0724,78.39844768082557,224391.0724,1,10017,1947644.4222,"{""type"":""Polygon"",""coordinates"":[[[78.39380576845336,17.589245120123852],[78.40321894854154,17.5893699811932],[78.40308955971089,17.59839967599633],[78.39367645457385,17.59827484567697],[78.39380576845336,17.589245120123852]]]}"
